marca_temporal,biofertilizante,cultivo,manzanas,compuestos,produccion,desarrollo_descripcion,frecuencia_plaguicidas,cambio_plaguicidas_descripcion,cambio_plagas,frecuencia_biofertilizante,he_notado_cambios_negativos_en_mi_cultivo_despues_de_aplicar_biofertilizantes,he_notado_que_mi_cultivo_se_ve_mas_saludable_desde_que_uso_biofertilizantes,he_notado_que_mi_cultivo_resiste_mas_las_malas_condiciones_ambientales,mi_cultivo_se_ve_mas_vigoroso_en_comparacion_con_agricultores_de_la_zona_que_no_utilizan_biofertilizantes,mi_cultivo_es_mas_vigoroso_desde_que_utilizo_biofertilizantes,en_general_estoy_muy_satisfecho_con_los_resultados_obtenidos_al_utilizar_biofertilizantes,estoy_de_satisfecho_con_la_relacion_precio_calidad_del_biofertilizante,definitivamente_recomendaria_el_uso_de_biofertilizantes_a_amigos_o_colegas,considero_que_el_uso_de_biofertilizantes_ha_mejorado_la_calidad_de_mi_cosecha_con_el_tiempo,he_notado_un_cambio_significativo_en_las_ganancias_desde_que_comence_a_utilizar_biofertilizantes,tengo_una_buena_produccion_en_terminos_de_rendimiento_por_manzana_cultivada,el_biofertilizante_cumple_con_mis_necesidades,planeo_seguir_utilizando_biofertilizantes_en_mis_cultivos_en_el_futuro,si_tiene_algun_comentario_o_recomendacion_puede_escribirlo_a_continuacion,produccion_qq_mz,manzanas_clean,cultivo_clean,biofertilizante_clean,cambio_plagas_simple,frecuencia_plaguicidas_num
2023-05-17T10:41:42Z,nitroesten nitrogenadoo granulado quintal,Maíz,0.5 mz,nitrogeno,60 en media manzana,"mejor color, vigorosa","3 abonadas y quintal por aonada, 16-20-0 al momento de siembra. a los 15 dias primera,  segunda 25, tercera 35 dias",etsal liquido 12cc por bombada 17 litros,"normalmente, canicula hay mas gusano, lloviendo es menos.",3 abonadas,Muy en desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"50 dolares nitroesten... plano...
biofertilizantes no pega, son mas caros...
",60,0.5,Maíz,Nitroesten,Disminuyó,3
2023-05-17T15:06:11Z,Biopro,Maíz,2.0,no,80 qq por manzana,"Si, es mas vigoroza",2 bombadas por manzana,"Si, es menor la insidencia despues de usarla",Disminución,4 bombadas por manzana,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Mi cultivo es para consumo familiar,80,2,Maíz,Biopro,Disminuyó,2
2023-05-17T15:11:23Z,BIOPRO,Maíz,5.0,NO,78 qq por manzana,"Si,",depende de la incidencia de plagas,"Si, ha disminuido",disminución,"1 litro por bomba,, entre 4 y 5 bombadas",Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,NA,78,5,Maíz,Biopro,Disminuyó,NA
2023-05-17T15:15:57Z,biopro,Maíz,1/2 manzana,no,37 qq,"si, se ve mas saludable",depende de como vaya la plaga,si se observan mucho menos,disminucion,"1 litro por bomba, 3 -4  veces",Muy en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,NA,37,0.5,Maíz,Biopro,Disminuyó,NA
2023-05-17T15:26:46Z,BIOPRO,Maíz,8.0,NO,80.0,"SI, SE VE MAS VERDE","DEPENDE DE CUANTA PLAGA TENGA, ENTRE 2 BOMBADAS","SI, LA PLANTA RESISTE MAS LA PLAGA",DISMINUCION,5-7 BOMBADAS POR MANZANA,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,NA,80,8,Maíz,Biopro,Disminuyó,2
2023-05-17T15:41:55Z,biopro,Maíz,1.0,NA,83 qq,si la planta crece mejor,2 bombadas,"si, uso menos",disminución,"1 litro por bomba, entre 3 a 4 veces",Muy en desacuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,el cultivo es para consumo personal,83,1,Maíz,Biopro,Disminuyó,2
2023-05-17T15:46:33Z,biopro,Maíz,6.0,NA,74 qq,"la planta se desarolla mejor, y crece mas sana","depende, pero normalmente entre 3 a 5 bombadas",la planta es mas resistente a las plagas,"si,es menos",uso hasta 6 bombadas,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,NA,74,6,Maíz,Biopro,Disminuyó,3
2023-05-17T15:51:54Z,biopro,Maíz,1/4,NA,22 qq,"si, crece mejor",1 bombada,si uso mucho menos,disminucion,unas 3 bombadas,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,NA,22,1,Maíz,Biopro,Disminuyó,1
2023-05-17T18:46:02Z,Bio amigo,Maíz,25.0,Micorrisas,80.0,No,Cada 10 días.,No,No,Cada 10 días,Muy en desacuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Algo en desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,NA,80,25,Maíz,Bioamigo,Sin cambio o NA,10
2023-05-22T21:40:29Z,Micorrizas - Bioamigo,"Maíz, Sorgo/Maicillo","1,5 Manzanas",Hongos,85 quintales,Si,"2 veces, folidol",lo mismo,disminuyo un poco,al momento de la siembra polvo de roca y micorrizas en la semilla antes de sembrar,Muy en desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,NA,85,1,Maíz,Bioamigo,Disminuyó,2
2023-05-22T21:46:05Z,"Polvo de roca, gallinaza, vacaza",Maíz,"0,5 Mz",NA,90.0,"si, arrancan con mas vigor porque también a la siembra uso polvo de roca y eso ayuda a levantar la planta.",Yo uso blindaje 3 veces por ciclo,ha bajado un poco,a bajado un poco,1 vez por ciclo,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Algo en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,NA,90,0,Maíz,Mezcla artesanal,Sin cambio o NA,3
2023-05-22T21:50:24Z,Micorrizas,Maíz,1 Mz,NA,65.0,"si, a raíces son mejores",2 veces,se ha mantenido,lo mismo,1 vez,Algo en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Pero siempre uso 16-20-0 mas que todo,65,1,Maíz,Mezcla artesanal,Sin cambio o NA,2
2023-05-22T21:55:29Z,"Polvo de roca, bioamigo","Maíz, Sorgo/Maicillo","0,5 Mz",Hongo,75.0,"Si, es mas verdecita y se ve mas frondosa",2 veces para el cogollero,pues siempre uso lo mismo,menos,2 veces porque cuando siembro y le riego también vacaza,Algo en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Algo en desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,"Hago 3 abonadas, la segunda la hago con triple 15 y la ultima con sulfato",75,0,Maíz,Bioamigo,Disminuyó,2
2023-05-22T21:59:19Z,Bocachi,"Maíz, Sorgo/Maicillo",1.0,Bacteria,95.0,"si, nace mas rápido y la mayoría germina",Yo solo uso cipermetrina antes de la siembra,los mismo,lo mismo,1 sola vez,Algo en desacuerdo,Ni de acuerdo ni desacuerdo,Algo en desacuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Muy en desacuerdo,"No, yo no lo utilizaria, sirve pero cuesta encontrarlo y con lo que han subido los abonos",95,1,Maíz,Bocachi,Sin cambio o NA,NA
2023-05-22T22:05:03Z,"Rastrojo, micorriza bioamigo, polvo de roca","Maíz, Sorgo/Maicillo, Frijol",1.0,NA,60.0,La planta tiene mas follaje y mejora la raiz,unas 3 veces para el gusano,bajo,bajo,"cuando se hara la tierra se le hecha regadito el polvo de roca y el bioamigo se le hecha a la semilla antes de sembrarla, solo eso de ahi sulfato con 16-20-0 mezclado le doy 3 abonadas",Muy en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,NA,60,1,Maíz,Bioamigo,Disminuyó,3
2023-05-22T22:09:23Z,"Gallinaza, rastrojo, bioamigo","Maíz, Sorgo/Maicillo, frijol","0,5 Mz",NA,78.0,"Bueno, mas firme y mejores raices, yo siembro en ladera y la planta crece bien por las raices",2 veces con volaton,poco,algo menos,"3 abonadas con formula y sulfato a los 10, 25 y 35 dias",Algo en desacuerdo,Parcialmente de acuerdo,Algo en desacuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Algo en desacuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Algo en desacuerdo,NA,78,0,Maíz,Bioamigo,Disminuyó,2
2023-05-22T22:14:20Z,"Rastrojo, polvo de roca","Maíz, Sorgo/Maicillo, frijol",1 Mz,NA,70.0,Nace mas pronto y enraíza mas,Yo uso el insecticida misil 2 veces,lo mismo como eso no es para la plaga,casi igual,fijese que como yo dejo el rastrojo y eso ayuda despues con polvo de roca regadito,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Algo en desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,"siempre uso 16-20-0 3 abonadas le doy, la primera a la siembra, la segunda a los 15 días y a los 30-35 días la otra",70,1,Maíz,Mezcla artesanal,Sin cambio o NA,2
2023-05-22T22:20:01Z,Micorrizas bioamigo y polvo de roca,"Maíz, Sorgo/Maicillo, Frijol","1,5 mz",microorganismos,50.0,se ve mejor,volaton granulado uso para el gusano una sola vez le pongo,"menos se usa, llega menos plaga",menos,"como eso antes de sembra el bioamigo y a la siembra el polvo de roca, ya despues el abono; a los 8 dias uso formula 16-20-0, a los 20 dias otra vez y la ultima alla por los 30-35 dias sulfato",Muy en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"yo uso H-59 pero si usara semilla Dekal 390 sacara mas quintales, esa semilla es buena y con el bioamigo ya se enraiza mejor y hay mas vida",50,1,Maíz,Bioamigo,Disminuyó,NA
2023-05-23T12:06:32Z,Biopro,Sorgo/Maicillo,1/4,no,37 qq,"Si, la planta reciste mas la plaga",1-2 veces por ciclo,"Si, ahora uso menos",disminución,1 vez,Muy en desacuerdo,Parcialmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,NA,37,1,Sorgo,Biopro,Disminuyó,1
2023-05-23T12:13:21Z,biopro,Sorgo/Maicillo,1.0,no,38 qq,"si, la planta se va desarollando mejor",2 veces,si con el tiempo he usado menos,disminucion,3.0,Muy en desacuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,NA,38,1,Sorgo,Biopro,Disminuyó,2
2023-05-25T20:32:05Z,ORGANOSATO,"Maíz, Sorgo/Maicillo, Caña de azúcar",1.0,Ácidos fúlvicos y húmicos,98 quintales,"Si, mayor llenado de grano en maíz, el rebrote en sorgo es mayor.","2 veces, aplico Volaton granulado 12 Kg/Mz",No ha variado mucho,Es similar,"3 veces, 150 cc por bomba de 4 galones",Algo en desacuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Algo en desacuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,Ni de acuerdo ni desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,El litro del Organosato ronda los $26 litro,98,1,Maíz,Organosato,Sin cambio o NA,2
2023-05-25T20:42:50Z,Albamin,Arroz,"0,5 Mz","Nitrógeno orgánico, materia orgánica y aminoácidos",150 quintales,Mas frondoso y aumento en el peso del gajo; también se debe a que cambiamos de utilizar semilla a criolla a otra semilla mejorada.,3 veces,si ha bajado,dismiuyo,"4 veces, 500 ml por 200 litros de agua",Muy en desacuerdo,Totalmente de acuerdo,Algo en desacuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Muy en desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Algo en desacuerdo,Ni de acuerdo ni desacuerdo,Totalmente de acuerdo,"la verdad que siempre es bueno utilizar otra formulas, el medio litro anda mas o menos a $15 de este producto",150,0,Arroz,Albamin,Sin cambio o NA,3
2023-05-25T21:32:40Z,Crop plus,Arroz,1.0,Algas marinas,190.0,Mejor llenado,"3 veces, y galón por manzana",no,no,"1 vez; 0,5 L/Mz",Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Muy en desacuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Totalmente de acuerdo,"Este biofertilizante me sirve puntualmente para llenado de grano, de ahi hago 3 abonadas pero con quimico",190,1,Arroz,Crop Plus,Sin cambio o NA,3
2023-05-30T16:21:38Z,Crop plus,Arroz,1.0,Algas Marinas,190.0,Probablemente un mejor llenado,3 veces y un galón por manzana,no,no,"1 vez... 0,5 L/Mz",Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Muy en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,"Este biofertilizante me sirve puntualmente para favorecer llenado de grano de ahí no considero que tenga otros efectos, de ahí hago 3 abonadas pero con químico y es lo que realmente me levanta desde estadios tempranos la planta.",190,1,Arroz,Crop Plus,Sin cambio o NA,3
